Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.94095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 89.07429 %
Validity: 80.70000 % | Diversity: 21.60000 % | Reconstruction: 89.36000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.90286 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 89.32952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.89333 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.82286 %
Validity: 78.20000 % | Diversity: 20.80000 % | Reconstruction: 89.39619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 89.00381 %
Validity: 80.10000 % | Diversity: 20.00000 % | Reconstruction: 89.49333 %
Validity: 82.50000 % | Diversity: 24.30000 % | Reconstruction: 89.58667 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.12000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.39619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.00952 %
Validity: 79.30000 % | Diversity: 21.70000 % | Reconstruction: 90.00000 %
Validity: 79.40000 % | Diversity: 21.40000 % | Reconstruction: 90.03810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.02286 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 89.61714 %
Validity: 79.40000 % | Diversity: 22.40000 % | Reconstruction: 90.62286 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 89.81524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 89.44190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 89.94095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.09714 %
Validity: 75.90000 % | Diversity: 22.20000 % | Reconstruction: 90.80000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.55619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 89.14476 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.41333 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.55429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.54476 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.85905 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.65905 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.38857 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.35619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.01143 %
Validity: 79.30000 % | Diversity: 20.20000 % | Reconstruction: 90.88762 %
Validity: 79.60000 % | Diversity: 21.80000 % | Reconstruction: 90.93333 %
Validity: 77.30000 % | Diversity: 20.50000 % | Reconstruction: 91.04952 %
Validity: 77.00000 % | Diversity: 21.20000 % | Reconstruction: 91.16571 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.05524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.88381 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.08000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.96952 %
